380	223	4
394	202	4
419	198	4
447	215	4
469	186	4
493	156	4
497	201	4
566	276	2
617	132	3
610	115	3
587	116	3
586	132	3
592	151	3
571	112	3
426	226	4
669	214	1
576	302	2
575	285	2
548	310	2
570	317	2
593	301	2
584	267	2
558	273	2
546	282	2
589	312	2
588	291	2
603	290	2
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	4
446	233	4
663	226	1
512	204	4
578	97	3
595	102	3
607	136	3
594	281	2
559	291	2
465	238	4
473	222	4
653	234	1
637	212	1
492	236	4
482	199	4
468	166	4
446	171	4
445	186	4
464	205	4
431	254	4
690	179	1
570	132	3
582	152	3
592	120	3
599	138	3
607	155	3
698	205	1
649	180	1
658	195	1
656	210	1
506	217	4
510	184	4
490	179	4
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
